"","external_gene_name","description","gene_biotype"
"5643","Tmem128","transmembrane protein 128 [Source:MGI Symbol;Acc:MGI:1913559]","protein_coding"
"5644","Asns","asparagine synthetase [Source:MGI Symbol;Acc:MGI:1350929]","protein_coding"
"5645","Copb1","coatomer protein complex, subunit beta 1 [Source:MGI Symbol;Acc:MGI:1917599]","protein_coding"
"5646","Adgra3","adhesion G protein-coupled receptor A3 [Source:MGI Symbol;Acc:MGI:1917943]","protein_coding"
"5647","Eefsec","eukaryotic elongation factor, selenocysteine-tRNA-specific [Source:MGI Symbol;Acc:MGI:2137092]","protein_coding"
"5648","Armc5","armadillo repeat containing 5 [Source:MGI Symbol;Acc:MGI:2384586]","protein_coding"
"5649","Aldh2","aldehyde dehydrogenase 2, mitochondrial [Source:MGI Symbol;Acc:MGI:99600]","protein_coding"
"5650","Zfp746","zinc finger protein 746 [Source:MGI Symbol;Acc:MGI:1916478]","protein_coding"
"5651","Foxa3","forkhead box A3 [Source:MGI Symbol;Acc:MGI:1347477]","protein_coding"
"5652","Arrdc4","arrestin domain containing 4 [Source:MGI Symbol;Acc:MGI:1913662]","protein_coding"
"5653","Atp6v1e1","ATPase, H+ transporting, lysosomal V1 subunit E1 [Source:MGI Symbol;Acc:MGI:894326]","protein_coding"
"5654","Zfp932","zinc finger protein 932 [Source:MGI Symbol;Acc:MGI:1916754]","protein_coding"
"5655","Zfp467","zinc finger protein 467 [Source:MGI Symbol;Acc:MGI:1916160]","protein_coding"
"5656","Insr","insulin receptor [Source:MGI Symbol;Acc:MGI:96575]","protein_coding"
"5657","Ppfia1","protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 [Source:MGI Symbol;Acc:MGI:1924750]","protein_coding"
"5658","Atoh8","atonal bHLH transcription factor 8 [Source:MGI Symbol;Acc:MGI:1918343]","protein_coding"
"5659","Tspan33","tetraspanin 33 [Source:MGI Symbol;Acc:MGI:1919012]","protein_coding"
"5660","Cux1","cut-like homeobox 1 [Source:MGI Symbol;Acc:MGI:88568]","protein_coding"
"5661","Capg","capping actin protein, gelsolin like [Source:MGI Symbol;Acc:MGI:1098259]","protein_coding"
"5662","D8Ertd738e","DNA segment, Chr 8, ERATO Doi 738, expressed [Source:MGI Symbol;Acc:MGI:1289231]","protein_coding"
"5663","Ppp2cb","protein phosphatase 2 (formerly 2A), catalytic subunit, beta isoform [Source:MGI Symbol;Acc:MGI:1321161]","protein_coding"
"5664","Gimap6","GTPase, IMAP family member 6 [Source:MGI Symbol;Acc:MGI:1918876]","protein_coding"
"5665","Ggcx","gamma-glutamyl carboxylase [Source:MGI Symbol;Acc:MGI:1927655]","protein_coding"
"5666","H6pd","hexose-6-phosphate dehydrogenase (glucose 1-dehydrogenase) [Source:MGI Symbol;Acc:MGI:2140356]","protein_coding"
"5667","Trpv6","transient receptor potential cation channel, subfamily V, member 6 [Source:MGI Symbol;Acc:MGI:1927259]","protein_coding"
"5668","Klhl2","kelch-like 2, Mayven [Source:MGI Symbol;Acc:MGI:1924363]","protein_coding"
"5669","Akr1b8","aldo-keto reductase family 1, member B8 [Source:MGI Symbol;Acc:MGI:107673]","protein_coding"
"5670","Arhgdib","Rho, GDP dissociation inhibitor beta [Source:MGI Symbol;Acc:MGI:101940]","protein_coding"
"5671","Smco3","single-pass membrane protein with coiled-coil domains 3 [Source:MGI Symbol;Acc:MGI:2443451]","protein_coding"
"5672","Tia1","cytotoxic granule-associated RNA binding protein 1 [Source:MGI Symbol;Acc:MGI:107914]","protein_coding"
"5673","Arhgef19","Rho guanine nucleotide exchange factor 19 [Source:MGI Symbol;Acc:MGI:1925912]","protein_coding"
"5674","Pla2g4c","phospholipase A2, group IVC (cytosolic, calcium-independent) [Source:MGI Symbol;Acc:MGI:1196403]","protein_coding"
"5675","Ndufa3","NADH:ubiquinone oxidoreductase subunit A3 [Source:MGI Symbol;Acc:MGI:1913341]","protein_coding"
"5676","Ppp1r37","protein phosphatase 1, regulatory subunit 37 [Source:MGI Symbol;Acc:MGI:2687042]","protein_coding"
"5677","Nadsyn1","NAD synthetase 1 [Source:MGI Symbol;Acc:MGI:1926164]","protein_coding"
"5678","Ube2h","ubiquitin-conjugating enzyme E2H [Source:MGI Symbol;Acc:MGI:104632]","protein_coding"
"5679","Nfxl1","nuclear transcription factor, X-box binding-like 1 [Source:MGI Symbol;Acc:MGI:1923646]","protein_coding"
"5680","Sec13","SEC13 homolog, nuclear pore and COPII coat complex component [Source:MGI Symbol;Acc:MGI:99832]","protein_coding"
"5681","Nr2c2","nuclear receptor subfamily 2, group C, member 2 [Source:MGI Symbol;Acc:MGI:1352466]","protein_coding"
"5682","Blm","Bloom syndrome, RecQ like helicase [Source:MGI Symbol;Acc:MGI:1328362]","protein_coding"
"5683","Champ1","chromosome alignment maintaining phosphoprotein 1 [Source:MGI Symbol;Acc:MGI:1196398]","protein_coding"
"5684","Tbc1d14","TBC1 domain family, member 14 [Source:MGI Symbol;Acc:MGI:1098708]","protein_coding"
"5685","Slc25a15","solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15 [Source:MGI Symbol;Acc:MGI:1342274]","protein_coding"
"5686","Cops7a","COP9 signalosome subunit 7A [Source:MGI Symbol;Acc:MGI:1349400]","protein_coding"
"5687","Mast3","microtubule associated serine/threonine kinase 3 [Source:MGI Symbol;Acc:MGI:2683541]","protein_coding"
"5688","Sult1a1","sulfotransferase family 1A, phenol-preferring, member 1 [Source:MGI Symbol;Acc:MGI:102896]","protein_coding"
"5689","Zfp536","zinc finger protein 536 [Source:MGI Symbol;Acc:MGI:1926102]","protein_coding"
"5690","Luc7l2","LUC7-like 2 (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:2183260]","protein_coding"
"5691","Rrp8","ribosomal RNA processing 8 [Source:MGI Symbol;Acc:MGI:1914251]","protein_coding"
"5692","Rab20","RAB20, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:102789]","protein_coding"
"5693","Abcb4","ATP-binding cassette, sub-family B member 4 [Source:MGI Symbol;Acc:MGI:97569]","protein_coding"
"5694","Zfp866","zinc finger protein 866 [Source:MGI Symbol;Acc:MGI:3584369]","protein_coding"
"5695","Borcs8","BLOC-1 related complex subunit 8 [Source:MGI Symbol;Acc:MGI:1919618]","protein_coding"
"5696","Pik3cd","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta [Source:MGI Symbol;Acc:MGI:1098211]","protein_coding"
"5697","Ap2s1","adaptor-related protein complex 2, sigma 1 subunit [Source:MGI Symbol;Acc:MGI:2141861]","protein_coding"
"5698","Tmem265","transmembrane protein 265 [Source:MGI Symbol;Acc:MGI:5613213]","protein_coding"
"5699","Slc17a6","solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6 [Source:MGI Symbol;Acc:MGI:2156052]","protein_coding"
"5700","St7","suppression of tumorigenicity 7 [Source:MGI Symbol;Acc:MGI:1927450]","protein_coding"
"5701","Cxcl2","C-X-C motif chemokine ligand 2 [Source:MGI Symbol;Acc:MGI:1340094]","protein_coding"
"5702","Eef2k","eukaryotic elongation factor-2 kinase [Source:MGI Symbol;Acc:MGI:1195261]","protein_coding"
"5703","Cacna1a","calcium channel, voltage-dependent, P/Q type, alpha 1A subunit [Source:MGI Symbol;Acc:MGI:109482]","protein_coding"
"5704","Atp2a2","ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 [Source:MGI Symbol;Acc:MGI:88110]","protein_coding"
"5705","Lpar2","lysophosphatidic acid receptor 2 [Source:MGI Symbol;Acc:MGI:1858422]","protein_coding"
"5706","Plvap","plasmalemma vesicle associated protein [Source:MGI Symbol;Acc:MGI:1890497]","protein_coding"
"5707","Tecr","trans-2,3-enoyl-CoA reductase [Source:MGI Symbol;Acc:MGI:1915408]","protein_coding"
"5708","Catsperg1","cation channel sperm associated auxiliary subunit gamma 1 [Source:MGI Symbol;Acc:MGI:2443617]","protein_coding"
"5709","Cntn4","contactin 4 [Source:MGI Symbol;Acc:MGI:1095737]","protein_coding"
"5710","Eif4g2","eukaryotic translation initiation factor 4, gamma 2 [Source:MGI Symbol;Acc:MGI:109207]","protein_coding"
"5711","Tnfrsf23","tumor necrosis factor receptor superfamily, member 23 [Source:MGI Symbol;Acc:MGI:1930269]","protein_coding"
"5712","Sec1","secretory blood group 1 [Source:MGI Symbol;Acc:MGI:1928893]","protein_coding"
"5713","Spns1","SPNS lysolipid transporter 1, lysophospholipid [Source:MGI Symbol;Acc:MGI:1920908]","protein_coding"
"5714","Cxcl17","C-X-C motif chemokine ligand 17 [Source:MGI Symbol;Acc:MGI:2387642]","protein_coding"
"5715","Trim30a","tripartite motif-containing 30A [Source:MGI Symbol;Acc:MGI:98178]","protein_coding"
"5716","Insc","INSC spindle orientation adaptor protein [Source:MGI Symbol;Acc:MGI:1917942]","protein_coding"
"5717","Arhgef16","Rho guanine nucleotide exchange factor 16 [Source:MGI Symbol;Acc:MGI:2446219]","protein_coding"
"5718","Mrpl48","mitochondrial ribosomal protein L48 [Source:MGI Symbol;Acc:MGI:1289321]","protein_coding"
"5719","Zkscan14","zinc finger with KRAB and SCAN domains 14 [Source:MGI Symbol;Acc:MGI:1914485]","protein_coding"
"5720","Polr1d","polymerase (RNA) I polypeptide D [Source:MGI Symbol;Acc:MGI:108403]","protein_coding"
"5721","Loxl3","lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]","protein_coding"
"5722","Ccnd1","cyclin D1 [Source:MGI Symbol;Acc:MGI:88313]","protein_coding"
"5723","Lrpap1","low density lipoprotein receptor-related protein associated protein 1 [Source:MGI Symbol;Acc:MGI:96829]","protein_coding"
"5724","Oat","ornithine aminotransferase [Source:MGI Symbol;Acc:MGI:97394]","protein_coding"
"5725","Dusp16","dual specificity phosphatase 16 [Source:MGI Symbol;Acc:MGI:1917936]","protein_coding"
"5726","Il17ra","interleukin 17 receptor A [Source:MGI Symbol;Acc:MGI:107399]","protein_coding"
"5727","Snd1","staphylococcal nuclease and tudor domain containing 1 [Source:MGI Symbol;Acc:MGI:1929266]","protein_coding"
"5728","Ethe1","ethylmalonic encephalopathy 1 [Source:MGI Symbol;Acc:MGI:1913321]","protein_coding"
"5729","Zfp930","zinc finger protein 930 [Source:MGI Symbol;Acc:MGI:2675306]","protein_coding"
"5730","Zfp28","zinc finger protein 28 [Source:MGI Symbol;Acc:MGI:99175]","protein_coding"
"5731","Emilin1","elastin microfibril interfacer 1 [Source:MGI Symbol;Acc:MGI:1926189]","protein_coding"
"5732","Il18bp","interleukin 18 binding protein [Source:MGI Symbol;Acc:MGI:1333800]","protein_coding"
"5733","Zfp764","zinc finger protein 764 [Source:MGI Symbol;Acc:MGI:2443580]","protein_coding"
"5734","Qpctl","glutaminyl-peptide cyclotransferase-like [Source:MGI Symbol;Acc:MGI:1914619]","protein_coding"
"5735","Cdc7","cell division cycle 7 [Source:MGI Symbol;Acc:MGI:1309511]","protein_coding"
"5736","Per3","period circadian clock 3 [Source:MGI Symbol;Acc:MGI:1277134]","protein_coding"
"5737","Ccne1","cyclin E1 [Source:MGI Symbol;Acc:MGI:88316]","protein_coding"
"5738","Ccnd2","cyclin D2 [Source:MGI Symbol;Acc:MGI:88314]","protein_coding"
"5739","Klra4","killer cell lectin-like receptor, subfamily A, member 4 [Source:MGI Symbol;Acc:MGI:101904]","protein_coding"
"5740","Vamp5","vesicle-associated membrane protein 5 [Source:MGI Symbol;Acc:MGI:1858622]","protein_coding"
"5741","Lrrc8b","leucine rich repeat containing 8 family, member B [Source:MGI Symbol;Acc:MGI:2141353]","protein_coding"
"5742","Magohb","mago homolog B, exon junction complex core component [Source:MGI Symbol;Acc:MGI:1913691]","protein_coding"
"5743","Lcorl","ligand dependent nuclear receptor corepressor-like [Source:MGI Symbol;Acc:MGI:2651932]","protein_coding"
"5744","Dqx1","DEAQ RNA-dependent ATPase [Source:MGI Symbol;Acc:MGI:2136388]","protein_coding"
"5745","Slc6a13","solute carrier family 6 (neurotransmitter transporter, GABA), member 13 [Source:MGI Symbol;Acc:MGI:95629]","protein_coding"
"5746","Spata21","spermatogenesis associated 21 [Source:MGI Symbol;Acc:MGI:3607787]","protein_coding"
"5747","Tubgcp5","tubulin, gamma complex component 5 [Source:MGI Symbol;Acc:MGI:2178836]","protein_coding"
"5748","Clstn1","calsyntenin 1 [Source:MGI Symbol;Acc:MGI:1929895]","protein_coding"
"5749","M6pr","mannose-6-phosphate receptor, cation dependent [Source:MGI Symbol;Acc:MGI:96904]","protein_coding"
"5750","Rasa4","RAS p21 protein activator 4 [Source:MGI Symbol;Acc:MGI:1858600]","protein_coding"
"5751","Herc3","hect domain and RLD 3 [Source:MGI Symbol;Acc:MGI:1921248]","protein_coding"
"5752","Clec2h","C-type lectin domain family 2, member h [Source:MGI Symbol;Acc:MGI:2136934]","protein_coding"
"5753","Etv6","ets variant 6 [Source:MGI Symbol;Acc:MGI:109336]","protein_coding"
"5754","Rab43","RAB43, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1917084]","protein_coding"
"5755","Trim24","tripartite motif-containing 24 [Source:MGI Symbol;Acc:MGI:109275]","protein_coding"
"5756","Mcee","methylmalonyl CoA epimerase [Source:MGI Symbol;Acc:MGI:1920974]","protein_coding"
"5757","Crtc3","CREB regulated transcription coactivator 3 [Source:MGI Symbol;Acc:MGI:1917711]","protein_coding"
"5758","Coq8b","coenzyme Q8B [Source:MGI Symbol;Acc:MGI:1924139]","protein_coding"
"5759","Micos10","mitochondrial contact site and cristae organizing system subunit 10 [Source:MGI Symbol;Acc:MGI:1913628]","protein_coding"
"5760","Sec31a","SEC31 homolog A, COPII coat complex component [Source:MGI Symbol;Acc:MGI:1916412]","protein_coding"
"5761","Pparg","peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747]","protein_coding"
"5762","Trim3","tripartite motif-containing 3 [Source:MGI Symbol;Acc:MGI:1860040]","protein_coding"
"5763","Tcaf1","TRPM8 channel-associated factor 1 [Source:MGI Symbol;Acc:MGI:1914665]","protein_coding"
"5764","Bet1l","Bet1 golgi vesicular membrane trafficking protein like [Source:MGI Symbol;Acc:MGI:1913128]","protein_coding"
"5765","Gas6","growth arrest specific 6 [Source:MGI Symbol;Acc:MGI:95660]","protein_coding"
"5766","Nars2","asparaginyl-tRNA synthetase 2 (mitochondrial)(putative) [Source:MGI Symbol;Acc:MGI:2142075]","protein_coding"
"5767","Jak3","Janus kinase 3 [Source:MGI Symbol;Acc:MGI:99928]","protein_coding"
"5768","Mmp23","matrix metallopeptidase 23 [Source:MGI Symbol;Acc:MGI:1347361]","protein_coding"
"5769","Sval1","seminal vesicle antigen-like 1 [Source:MGI Symbol;Acc:MGI:1918828]","protein_coding"
"5770","Gpnmb","glycoprotein (transmembrane) nmb [Source:MGI Symbol;Acc:MGI:1934765]","protein_coding"
"5771","N4bp2l1","NEDD4 binding protein 2-like 1 [Source:MGI Symbol;Acc:MGI:2140872]","protein_coding"
"5772","Rsbn1l","round spermatid basic protein 1-like [Source:MGI Symbol;Acc:MGI:3036237]","protein_coding"
"5773","Ncapd2","non-SMC condensin I complex, subunit D2 [Source:MGI Symbol;Acc:MGI:1915548]","protein_coding"
"5774","Myadm","myeloid-associated differentiation marker [Source:MGI Symbol;Acc:MGI:1355332]","protein_coding"
"5775","Lamtor4","late endosomal/lysosomal adaptor, MAPK and MTOR activator 4 [Source:MGI Symbol;Acc:MGI:1913346]","protein_coding"
"5776","Tfip11","tuftelin interacting protein 11 [Source:MGI Symbol;Acc:MGI:1930075]","protein_coding"
"5777","Spsb1","splA/ryanodine receptor domain and SOCS box containing 1 [Source:MGI Symbol;Acc:MGI:1921896]","protein_coding"
"5778","Plekhb1","pleckstrin homology domain containing, family B (evectins) member 1 [Source:MGI Symbol;Acc:MGI:1351469]","protein_coding"
"5779","Tmed5","transmembrane p24 trafficking protein 5 [Source:MGI Symbol;Acc:MGI:1921586]","protein_coding"
"5780","Helq","helicase, POLQ-like [Source:MGI Symbol;Acc:MGI:2176740]","protein_coding"
"5781","Klrg1","killer cell lectin-like receptor subfamily G, member 1 [Source:MGI Symbol;Acc:MGI:1355294]","protein_coding"
"5782","Akr1b10","aldo-keto reductase family 1, member B10 [Source:MGI Symbol;Acc:MGI:1915111]","protein_coding"
"5783","Cox6b1","cytochrome c oxidase, subunit 6B1 [Source:MGI Symbol;Acc:MGI:107460]","protein_coding"
"5784","Nat8f5","N-acetyltransferase 8 (GCN5-related) family member 5 [Source:MGI Symbol;Acc:MGI:1916299]","protein_coding"
"5785","Rassf4","Ras association (RalGDS/AF-6) domain family member 4 [Source:MGI Symbol;Acc:MGI:2386853]","protein_coding"
"5786","Mfap3l","microfibrillar-associated protein 3-like [Source:MGI Symbol;Acc:MGI:1918556]","protein_coding"
"5787","Vamp1","vesicle-associated membrane protein 1 [Source:MGI Symbol;Acc:MGI:1313276]","protein_coding"
"5788","Sh2b1","SH2B adaptor protein 1 [Source:MGI Symbol;Acc:MGI:1201407]","protein_coding"
"5789","Sepsecs","Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase [Source:MGI Symbol;Acc:MGI:1098791]","protein_coding"
"5790","Tmem82","transmembrane protein 82 [Source:MGI Symbol;Acc:MGI:2384869]","protein_coding"
"5791","Impdh1","inosine monophosphate dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:96567]","protein_coding"
"5792","Scoc","short coiled-coil protein [Source:MGI Symbol;Acc:MGI:1927654]","protein_coding"
"5793","Dok7","docking protein 7 [Source:MGI Symbol;Acc:MGI:3584043]","protein_coding"
"5794","Smim7","small integral membrane protein 7 [Source:MGI Symbol;Acc:MGI:1914068]","protein_coding"
"5795","Vps33a","VPS33A CORVET/HOPS core subunit [Source:MGI Symbol;Acc:MGI:1924823]","protein_coding"
"5796","Cptp","ceramide-1-phosphate transfer protein [Source:MGI Symbol;Acc:MGI:1933107]","protein_coding"
"5797","Cidec","cell death-inducing DFFA-like effector c [Source:MGI Symbol;Acc:MGI:95585]","protein_coding"
"5798","Usp39","ubiquitin specific peptidase 39 [Source:MGI Symbol;Acc:MGI:107622]","protein_coding"
"5799","Mrpl1","mitochondrial ribosomal protein L1 [Source:MGI Symbol;Acc:MGI:2137202]","protein_coding"
"5800","Nucb2","nucleobindin 2 [Source:MGI Symbol;Acc:MGI:1858179]","protein_coding"
"5801","Arhgap25","Rho GTPase activating protein 25 [Source:MGI Symbol;Acc:MGI:2443687]","protein_coding"
"5802","Ccdc63","coiled-coil domain containing 63 [Source:MGI Symbol;Acc:MGI:3607777]","protein_coding"
"5803","Asl","argininosuccinate lyase [Source:MGI Symbol;Acc:MGI:88084]","protein_coding"
"5804","Clec11a","C-type lectin domain family 11, member a [Source:MGI Symbol;Acc:MGI:1298219]","protein_coding"
"5805","Atp10a","ATPase, class V, type 10A [Source:MGI Symbol;Acc:MGI:1330809]","protein_coding"
"5806","Fblim1","filamin binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1921452]","protein_coding"
"5807","Igf1r","insulin-like growth factor I receptor [Source:MGI Symbol;Acc:MGI:96433]","protein_coding"
"5808","Mrm2","mitochondrial rRNA methyltransferase 2 [Source:MGI Symbol;Acc:MGI:1915267]","protein_coding"
"5809","Prr14l","proline rich 14-like [Source:MGI Symbol;Acc:MGI:2443658]","protein_coding"
"5810","Zfp398","zinc finger protein 398 [Source:MGI Symbol;Acc:MGI:1917856]","protein_coding"
"5811","Rhbdd2","rhomboid domain containing 2 [Source:MGI Symbol;Acc:MGI:1915612]","protein_coding"
"5812","Klre1","killer cell lectin-like receptor family E member 1 [Source:MGI Symbol;Acc:MGI:2662547]","protein_coding"
"5813","Lmcd1","LIM and cysteine-rich domains 1 [Source:MGI Symbol;Acc:MGI:1353635]","protein_coding"
"5814","Rab7","RAB7, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105068]","protein_coding"
"5815","Osbpl5","oxysterol binding protein-like 5 [Source:MGI Symbol;Acc:MGI:1930265]","protein_coding"
"5816","N4bp2l2","NEDD4 binding protein 2-like 2 [Source:MGI Symbol;Acc:MGI:2687207]","protein_coding"
"5817","Acad10","acyl-Coenzyme A dehydrogenase family, member 10 [Source:MGI Symbol;Acc:MGI:1919235]","protein_coding"
"5818","Hspb6","heat shock protein, alpha-crystallin-related, B6 [Source:MGI Symbol;Acc:MGI:2685325]","protein_coding"
"5819","Rbm42","RNA binding motif protein 42 [Source:MGI Symbol;Acc:MGI:1915285]","protein_coding"
"5820","Cd8b1","CD8 subunit beta 1 [Source:MGI Symbol;Acc:MGI:88347]","protein_coding"
"5821","Rmnd5a","required for meiotic nuclear division 5 homolog A [Source:MGI Symbol;Acc:MGI:1915727]","protein_coding"
"5822","Gpatch1","G patch domain containing 1 [Source:MGI Symbol;Acc:MGI:1914721]","protein_coding"
"5823","Mapre3","microtubule-associated protein, RP/EB family, member 3 [Source:MGI Symbol;Acc:MGI:2140967]","protein_coding"
"5824","Klhdc10","kelch domain containing 10 [Source:MGI Symbol;Acc:MGI:1924038]","protein_coding"
"5825","Tigar","Trp53 induced glycolysis regulatory phosphatase [Source:MGI Symbol;Acc:MGI:2442752]","protein_coding"
"5826","Hk2","hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]","protein_coding"
"5827","Lrrc8d","leucine rich repeat containing 8D [Source:MGI Symbol;Acc:MGI:1922368]","protein_coding"
"5828","Car11","carbonic anhydrase 11 [Source:MGI Symbol;Acc:MGI:1336193]","protein_coding"
"5829","Gsdme","gasdermin E [Source:MGI Symbol;Acc:MGI:1889850]","protein_coding"
"5830","Kctd8","potassium channel tetramerisation domain containing 8 [Source:MGI Symbol;Acc:MGI:2443804]","protein_coding"
"5831","Ubfd1","ubiquitin family domain containing 1 [Source:MGI Symbol;Acc:MGI:107301]","protein_coding"
"5832","Gcfc2","GC-rich sequence DNA binding factor 2 [Source:MGI Symbol;Acc:MGI:2141656]","protein_coding"
"5833","Crot","carnitine O-octanoyltransferase [Source:MGI Symbol;Acc:MGI:1921364]","protein_coding"
"5834","Deaf1","DEAF1, transcription factor [Source:MGI Symbol;Acc:MGI:1858496]","protein_coding"
"5835","Znrf2","zinc and ring finger 2 [Source:MGI Symbol;Acc:MGI:1196246]","protein_coding"
"5836","Fkbp4","FK506 binding protein 4 [Source:MGI Symbol;Acc:MGI:95543]","protein_coding"
"5837","Zfp827","zinc finger protein 827 [Source:MGI Symbol;Acc:MGI:2444807]","protein_coding"
"5838","Clec4n","C-type lectin domain family 4, member n [Source:MGI Symbol;Acc:MGI:1861231]","protein_coding"
"5839","Edem1","ER degradation enhancer, mannosidase alpha-like 1 [Source:MGI Symbol;Acc:MGI:2180139]","protein_coding"
"5840","Trafd1","TRAF type zinc finger domain containing 1 [Source:MGI Symbol;Acc:MGI:1923551]","protein_coding"
"5841","Vopp1","vesicular, overexpressed in cancer, prosurvival protein 1 [Source:MGI Symbol;Acc:MGI:2141658]","protein_coding"
"5842","Cyren","cell cycle regulator of NHEJ [Source:MGI Symbol;Acc:MGI:1925662]","protein_coding"
"5843","1700003E16Rik","RIKEN cDNA 1700003E16 gene [Source:MGI Symbol;Acc:MGI:1919087]","protein_coding"
"5844","Bms1","BMS1, ribosome biogenesis factor [Source:MGI Symbol;Acc:MGI:2446132]","protein_coding"
"5845","Fgfr2","fibroblast growth factor receptor 2 [Source:MGI Symbol;Acc:MGI:95523]","protein_coding"
"5846","Scnn1a","sodium channel, nonvoltage-gated 1 alpha [Source:MGI Symbol;Acc:MGI:101782]","protein_coding"
"5847","Chchd6","coiled-coil-helix-coiled-coil-helix domain containing 6 [Source:MGI Symbol;Acc:MGI:1913348]","protein_coding"
"5848","Tyms","thymidylate synthase [Source:MGI Symbol;Acc:MGI:98878]","protein_coding"
"5849","Gsg1","germ cell associated 1 [Source:MGI Symbol;Acc:MGI:1194499]","protein_coding"
"5850","Gckr","glucokinase regulatory protein [Source:MGI Symbol;Acc:MGI:1096345]","protein_coding"
"5851","Ap1s1","adaptor protein complex AP-1, sigma 1 [Source:MGI Symbol;Acc:MGI:1098244]","protein_coding"
"5852","Tmem40","transmembrane protein 40 [Source:MGI Symbol;Acc:MGI:2137870]","protein_coding"
"5853","Ppat","phosphoribosyl pyrophosphate amidotransferase [Source:MGI Symbol;Acc:MGI:2387203]","protein_coding"
"5854","Klrc2","killer cell lectin-like receptor subfamily C, member 2 [Source:MGI Symbol;Acc:MGI:1336162]","protein_coding"
"5855","Ddx49","DEAD box helicase 49 [Source:MGI Symbol;Acc:MGI:2136689]","protein_coding"
"5856","Mrps25","mitochondrial ribosomal protein S25 [Source:MGI Symbol;Acc:MGI:1928140]","protein_coding"
"5857","Zfand4","zinc finger, AN1-type domain 4 [Source:MGI Symbol;Acc:MGI:1914742]","protein_coding"
"5858","Fcor","Foxo1 corepressor [Source:MGI Symbol;Acc:MGI:1915484]","protein_coding"
"5859","Tfdp1","transcription factor Dp 1 [Source:MGI Symbol;Acc:MGI:101934]","protein_coding"
"5860","P2rx7","purinergic receptor P2X, ligand-gated ion channel, 7 [Source:MGI Symbol;Acc:MGI:1339957]","protein_coding"
"5861","Exoc6b","exocyst complex component 6B [Source:MGI Symbol;Acc:MGI:1923164]","protein_coding"
"5862","Pom121","nuclear pore membrane protein 121 [Source:MGI Symbol;Acc:MGI:2137624]","protein_coding"
"5863","Slc46a3","solute carrier family 46, member 3 [Source:MGI Symbol;Acc:MGI:1918956]","protein_coding"
"5864","Nsun5","NOL1/NOP2/Sun domain family, member 5 [Source:MGI Symbol;Acc:MGI:2140844]","protein_coding"
"5865","Clec2i","C-type lectin domain family 2, member i [Source:MGI Symbol;Acc:MGI:2136650]","protein_coding"
"5866","Klrc1","killer cell lectin-like receptor subfamily C, member 1 [Source:MGI Symbol;Acc:MGI:1336161]","protein_coding"
"5867","Mkrn2","makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]","protein_coding"
"5868","A430033K04Rik","RIKEN cDNA A430033K04 gene [Source:MGI Symbol;Acc:MGI:3583896]","protein_coding"
"5869","Cyp3a25","cytochrome P450, family 3, subfamily a, polypeptide 25 [Source:MGI Symbol;Acc:MGI:1930638]","protein_coding"
"5870","Tshz3","teashirt zinc finger family member 3 [Source:MGI Symbol;Acc:MGI:2442819]","protein_coding"
"5871","Fcgrt","Fc fragment of IgG receptor and transporter [Source:MGI Symbol;Acc:MGI:103017]","protein_coding"
"5872","Armc6","armadillo repeat containing 6 [Source:MGI Symbol;Acc:MGI:1924063]","protein_coding"
"5873","Zfp664","zinc finger protein 664 [Source:MGI Symbol;Acc:MGI:2442505]","protein_coding"
"5874","Preb","prolactin regulatory element binding [Source:MGI Symbol;Acc:MGI:1355326]","protein_coding"
"5875","Purg","purine-rich element binding protein G [Source:MGI Symbol;Acc:MGI:1922279]","protein_coding"
"5876","Zmat4","zinc finger, matrin type 4 [Source:MGI Symbol;Acc:MGI:2443497]","protein_coding"
"5877","Nectin2","nectin cell adhesion molecule 2 [Source:MGI Symbol;Acc:MGI:97822]","protein_coding"
"5878","Ppm1g","protein phosphatase 1G (formerly 2C), magnesium-dependent, gamma isoform [Source:MGI Symbol;Acc:MGI:106065]","protein_coding"
"5879","Lhfpl3","lipoma HMGIC fusion partner-like 3 [Source:MGI Symbol;Acc:MGI:1925076]","protein_coding"
"5880","Zfp655","zinc finger protein 655 [Source:MGI Symbol;Acc:MGI:1919861]","protein_coding"
"5881","Map1s","microtubule-associated protein 1S [Source:MGI Symbol;Acc:MGI:2443304]","protein_coding"
"5882","Ctr9","CTR9 homolog, Paf1/RNA polymerase II complex component [Source:MGI Symbol;Acc:MGI:109345]","protein_coding"
