"","external_gene_name","description","gene_biotype"
"54","9530097N15Rik","RIKEN cDNA 9530097N15 gene [Source:MGI Symbol;Acc:MGI:1925995]","lncRNA"
"55","Gm42700","predicted gene 42700 [Source:MGI Symbol;Acc:MGI:5662837]","lncRNA"
"56","Gm42699","predicted gene 42699 [Source:MGI Symbol;Acc:MGI:5662836]","lncRNA"
"57","Gm42702","predicted gene 42702 [Source:MGI Symbol;Acc:MGI:5662839]","lncRNA"
"58","Gm42701","predicted gene 42701 [Source:MGI Symbol;Acc:MGI:5662838]","lncRNA"
"59","Gm43258","predicted gene 43258 [Source:MGI Symbol;Acc:MGI:5663395]","lncRNA"
"60","C030032O16Rik","RIKEN cDNA C030032O16 gene [Source:MGI Symbol;Acc:MGI:1924718]","lncRNA"
"61","Gm43259","predicted gene 43259 [Source:MGI Symbol;Acc:MGI:5663396]","lncRNA"
"62","Gm43260","predicted gene 43260 [Source:MGI Symbol;Acc:MGI:5663397]","lncRNA"
"63","Gm43256","predicted gene 43256 [Source:MGI Symbol;Acc:MGI:5663393]","lncRNA"
"64","Gm43696","predicted gene 43696 [Source:MGI Symbol;Acc:MGI:5663833]","lncRNA"
"65","4930509H03Rik","RIKEN cDNA 4930509H03 gene [Source:MGI Symbol;Acc:MGI:1922357]","lncRNA"
"66","Gm43581","predicted gene 43581 [Source:MGI Symbol;Acc:MGI:5663718]","lncRNA"
"67","Gm43585","predicted gene 43585 [Source:MGI Symbol;Acc:MGI:5663722]","lncRNA"
"68","Gm29561","predicted gene 29561 [Source:MGI Symbol;Acc:MGI:5580267]","lncRNA"
"69","Naaladl2","N-acetylated alpha-linked acidic dipeptidase-like 2 [Source:MGI Symbol;Acc:MGI:2685867]","protein_coding"
"70","Gm42658","predicted gene 42658 [Source:MGI Symbol;Acc:MGI:5662795]","lncRNA"
"71","Gm42659","predicted gene 42659 [Source:MGI Symbol;Acc:MGI:5662796]","lncRNA"
"72","Gm43445","predicted gene 43445 [Source:MGI Symbol;Acc:MGI:5663582]","lncRNA"
"73","Gm43707","predicted gene 43707 [Source:MGI Symbol;Acc:MGI:5663844]","lncRNA"
"74","Gm43560","predicted gene 43560 [Source:MGI Symbol;Acc:MGI:5663697]","lncRNA"
"75","Vmn2r7","vomeronasal 2, receptor 7 [Source:MGI Symbol;Acc:MGI:2441693]","protein_coding"
"76","Clca3a1","chloride channel accessory 3A1 [Source:MGI Symbol;Acc:MGI:1316732]","protein_coding"
"77","Clca3a2","chloride channel accessory 3A2 [Source:MGI Symbol;Acc:MGI:1931471]","protein_coding"
"78","4731419I09Rik","RIKEN cDNA 4731419I09 gene [Source:MGI Symbol;Acc:MGI:3704222]","lncRNA"
"79","Clca4b","chloride channel accessory 4B [Source:MGI Symbol;Acc:MGI:2139790]","protein_coding"
"80","Clca1","chloride channel accessory 1 [Source:MGI Symbol;Acc:MGI:1346342]","protein_coding"
"81","Veph1","ventricular zone expressed PH domain-containing 1 [Source:MGI Symbol;Acc:MGI:1920039]","protein_coding"
"82","Mcoln3","mucolipin 3 [Source:MGI Symbol;Acc:MGI:1890500]","protein_coding"
"83","Eps8l3","EPS8-like 3 [Source:MGI Symbol;Acc:MGI:2139743]","protein_coding"
"84","Gm12524","predicted gene 12524 [Source:MGI Symbol;Acc:MGI:3651331]","lncRNA"
"85","Gm43713","predicted gene 43713 [Source:MGI Symbol;Acc:MGI:5663850]","lncRNA"
"86","1110032F04Rik","RIKEN cDNA 1110032F04 gene [Source:MGI Symbol;Acc:MGI:1915975]","protein_coding"
"87","Gm42463","predicted gene 42463 [Source:MGI Symbol;Acc:MGI:5662600]","lncRNA"
"88","Gm43773","predicted gene 43773 [Source:MGI Symbol;Acc:MGI:5663910]","lncRNA"
"89","Lrrc7","leucine rich repeat containing 7 [Source:MGI Symbol;Acc:MGI:2676665]","lncRNA"
"90","Setd7","SET domain containing (lysine methyltransferase) 7 [Source:MGI Symbol;Acc:MGI:1920501]","protein_coding"
"91","Sprr2a3","small proline-rich protein 2A3 [Source:MGI Symbol;Acc:MGI:3845028]","protein_coding"
"92","Gm37256","predicted gene, 37256 [Source:MGI Symbol;Acc:MGI:5610484]","lncRNA"
"93","Kcna3","potassium voltage-gated channel, shaker-related subfamily, member 3 [Source:MGI Symbol;Acc:MGI:96660]","protein_coding"
"94","Gm43848","predicted gene 43848 [Source:MGI Symbol;Acc:MGI:5663985]","lncRNA"
"95","Gm43328","predicted gene 43328 [Source:MGI Symbol;Acc:MGI:5663465]","lncRNA"
"96","Gm43329","predicted gene 43329 [Source:MGI Symbol;Acc:MGI:5663466]","lncRNA"
"97","Gm43330","predicted gene 43330 [Source:MGI Symbol;Acc:MGI:5663467]","lncRNA"
"98","Gm43331","predicted gene 43331 [Source:MGI Symbol;Acc:MGI:5663468]","lncRNA"
"99","Adora3","adenosine A3 receptor [Source:MGI Symbol;Acc:MGI:104847]","protein_coding"
"100","Ovgp1","oviductal glycoprotein 1 [Source:MGI Symbol;Acc:MGI:106661]","protein_coding"
"101","Gm42721","predicted gene 42721 [Source:MGI Symbol;Acc:MGI:5662858]","lncRNA"
"102","Chil5","chitinase-like 5 [Source:MGI Symbol;Acc:MGI:2676649]","protein_coding"
"103","Gm42893","predicted gene 42893 [Source:MGI Symbol;Acc:MGI:5663030]","lncRNA"
"104","Gm43149","predicted gene 43149 [Source:MGI Symbol;Acc:MGI:5663286]","lncRNA"
"105","Gm43387","predicted gene 43387 [Source:MGI Symbol;Acc:MGI:5663524]","lncRNA"
"106","Rap2b","RAP2B, member of RAS oncogene family [Source:MGI Symbol;Acc:MGI:1921262]","protein_coding"
"107","A730011C13Rik","RIKEN cDNA A730011C13 gene [Source:MGI Symbol;Acc:MGI:2442973]","lncRNA"
"108","Gm15265","predicted gene 15265 [Source:MGI Symbol;Acc:MGI:3705193]","lncRNA"
"109","Gm37640","predicted gene, 37640 [Source:MGI Symbol;Acc:MGI:5610868]","lncRNA"
"110","Slc25a31","solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 31 [Source:MGI Symbol;Acc:MGI:1920583]","protein_coding"
"111","Gm17494","predicted gene, 17494 [Source:MGI Symbol;Acc:MGI:4937128]","lncRNA"
"112","Gm16069","predicted gene 16069 [Source:MGI Symbol;Acc:MGI:3801823]","lncRNA"
"113","S100a2","S100 calcium binding protein A2 [Source:MGI Symbol;Acc:MGI:3510999]","protein_coding"
"114","Tspan2os","tetraspanin 2, opposite strand [Source:MGI Symbol;Acc:MGI:1925741]","lncRNA"
"115","1500004A13Rik","RIKEN cDNA 1500004A13 gene [Source:MGI Symbol;Acc:MGI:2442808]","lncRNA"
"116","4930592C13Rik","RIKEN cDNA 4930592C13 gene [Source:MGI Symbol;Acc:MGI:2686503]","lncRNA"
"117","Gm29155","predicted gene 29155 [Source:MGI Symbol;Acc:MGI:5579861]","lncRNA"
"118","Cntnap5a","contactin associated protein-like 5A [Source:MGI Symbol;Acc:MGI:3643623]","protein_coding"
"119","Gm20750","predicted gene, 20750 [Source:MGI Symbol;Acc:MGI:5434106]","lncRNA"
"120","Rrs1","ribosome biogenesis regulator 1 [Source:MGI Symbol;Acc:MGI:1929721]","protein_coding"
"121","Gm15540","predicted gene 15540 [Source:MGI Symbol;Acc:MGI:3782988]","lncRNA"
"122","Gm30292","predicted gene, 30292 [Source:MGI Symbol;Acc:MGI:5589451]","lncRNA"
"123","Gm28792","predicted gene 28792 [Source:MGI Symbol;Acc:MGI:5579498]","lncRNA"
"124","Apobec4","apolipoprotein B mRNA editing enzyme catalytic polypeptide-like 4 [Source:MGI Symbol;Acc:MGI:1918531]","protein_coding"
"125","Gm29536","predicted gene 29536 [Source:MGI Symbol;Acc:MGI:5580242]","lncRNA"
"126","Gm28791","predicted gene 28791 [Source:MGI Symbol;Acc:MGI:5579497]","lncRNA"
"127","Kif28","kinesin family member 28 [Source:MGI Symbol;Acc:MGI:2686151]","protein_coding"
"128","Gm28960","predicted gene 28960 [Source:MGI Symbol;Acc:MGI:5579666]","lncRNA"
"129","Dnah7b","dynein, axonemal, heavy chain 7B [Source:MGI Symbol;Acc:MGI:2684953]","protein_coding"
"130","Gm5544","predicted gene 5544 [Source:MGI Symbol;Acc:MGI:3648209]","lncRNA"
"131","Dnah7c","dynein, axonemal, heavy chain 7C [Source:MGI Symbol;Acc:MGI:3639762]","protein_coding"
"132","Gm28151","predicted gene 28151 [Source:MGI Symbol;Acc:MGI:5578857]","lncRNA"
"133","Cpa6","carboxypeptidase A6 [Source:MGI Symbol;Acc:MGI:3045348]","protein_coding"
"134","Gm31243","predicted gene, 31243 [Source:MGI Symbol;Acc:MGI:5590402]","lncRNA"
"135","Gm29282","predicted gene 29282 [Source:MGI Symbol;Acc:MGI:5579988]","lncRNA"
"136","Ier5","immediate early response 5 [Source:MGI Symbol;Acc:MGI:1337072]","protein_coding"
"137","Gm16325","predicted gene 16325 [Source:MGI Symbol;Acc:MGI:3826549]","lncRNA"
"138","Gm37571","predicted gene, 37571 [Source:MGI Symbol;Acc:MGI:5610799]","lncRNA"
"139","Cep350","centrosomal protein 350 [Source:MGI Symbol;Acc:MGI:1921331]","protein_coding"
"140","Tmem185b","transmembrane protein 185B [Source:MGI Symbol;Acc:MGI:1917634]","protein_coding"
"141","1700094M23Rik","RIKEN cDNA 1700094M23 gene [Source:MGI Symbol;Acc:MGI:1920829]","lncRNA"
"142","2210411M09Rik","RIKEN cDNA 2210411M09 gene [Source:MGI Symbol;Acc:MGI:1917426]","lncRNA"
"143","Gm40155","predicted gene, 40155 [Source:MGI Symbol;Acc:MGI:5623040]","lncRNA"
"144","A430110L20Rik","RIKEN cDNA A430110L20 gene [Source:MGI Symbol;Acc:MGI:3036249]","lncRNA"
"145","Gm29670","predicted gene 29670 [Source:MGI Symbol;Acc:MGI:5580376]","lncRNA"
"146","Gm43403","predicted gene 43403 [Source:MGI Symbol;Acc:MGI:5663540]","lncRNA"
"147","Gm28884","predicted gene 28884 [Source:MGI Symbol;Acc:MGI:5579590]","lncRNA"
"148","Gm28376","predicted gene 28376 [Source:MGI Symbol;Acc:MGI:5579082]","lncRNA"
"149","Gm28153","predicted gene 28153 [Source:MGI Symbol;Acc:MGI:5578859]","lncRNA"
"150","Gm17501","predicted gene, 17501 [Source:MGI Symbol;Acc:MGI:4937135]","lncRNA"
"151","Tfap2d","transcription factor AP-2, delta [Source:MGI Symbol;Acc:MGI:2153466]","protein_coding"
"152","Pkhd1","polycystic kidney and hepatic disease 1 [Source:MGI Symbol;Acc:MGI:2155808]","protein_coding"
"153","Il17a","interleukin 17A [Source:MGI Symbol;Acc:MGI:107364]","protein_coding"
"154","Khdc1a","KH domain containing 1A [Source:MGI Symbol;Acc:MGI:2676610]","protein_coding"
"155","Gm29055","predicted gene 29055 [Source:MGI Symbol;Acc:MGI:5579761]","lncRNA"
"156","Mars2","methionine-tRNA synthetase 2 (mitochondrial) [Source:MGI Symbol;Acc:MGI:2444136]","protein_coding"
"157","Alpi","alkaline phosphatase, intestinal [Source:MGI Symbol;Acc:MGI:1924018]","protein_coding"
"158","Kcnq5","potassium voltage-gated channel, subfamily Q, member 5 [Source:MGI Symbol;Acc:MGI:1924937]","protein_coding"
"159","Cdcp2","CUB domain containing protein 2 [Source:MGI Symbol;Acc:MGI:3045328]","protein_coding"
"160","Gm12802","predicted gene 12802 [Source:MGI Symbol;Acc:MGI:3649683]","lncRNA"
"161","Dio1","deiodinase, iodothyronine, type I [Source:MGI Symbol;Acc:MGI:94896]","protein_coding"
"162","Gm35584","predicted gene, 35584 [Source:MGI Symbol;Acc:MGI:5594743]","lncRNA"
"163","Akp3","alkaline phosphatase 3, intestine, not Mn requiring [Source:MGI Symbol;Acc:MGI:87984]","protein_coding"
"164","Plcl1","phospholipase C-like 1 [Source:MGI Symbol;Acc:MGI:3036262]","protein_coding"
"165","Gm12971","predicted gene 12971 [Source:MGI Symbol;Acc:MGI:3650041]","lncRNA"
"166","Lct","lactase [Source:MGI Symbol;Acc:MGI:104576]","protein_coding"
"167","Gm26686","predicted gene, 26686 [Source:MGI Symbol;Acc:MGI:5477180]","lncRNA"
"168","C130074G19Rik","RIKEN cDNA C130074G19 gene [Source:MGI Symbol;Acc:MGI:2444831]","protein_coding"
"169","Pappa2","pappalysin 2 [Source:MGI Symbol;Acc:MGI:3051647]","protein_coding"
"170","Gm13063","predicted gene 13063 [Source:MGI Symbol;Acc:MGI:3649474]","lncRNA"
"171","Gm10300","predicted gene 10300 [Source:MGI Symbol;Acc:MGI:3641670]","lncRNA"
"172","Gm11250","predicted gene 11250 [Source:MGI Symbol;Acc:MGI:3651181]","lncRNA"
"173","4930523C07Rik","RIKEN cDNA 4930523C07 gene [Source:MGI Symbol;Acc:MGI:1914897]","protein_coding"
"174","Gm15759","predicted gene 15759 [Source:MGI Symbol;Acc:MGI:3783202]","lncRNA"
"175","Aox2","aldehyde oxidase 2 [Source:MGI Symbol;Acc:MGI:3529596]","protein_coding"
"176","Skint6","selection and upkeep of intraepithelial T cells 6 [Source:MGI Symbol;Acc:MGI:3649262]","protein_coding"
